         13818570 function calls (13376631 primitive calls) in 83.127 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   83.129   83.129 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\profile_app.py:7(run_app)
        1    0.000    0.000   82.707   82.707 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\__init__.py:1420(mainloop)
        1   45.176   45.176   82.707   82.707 {method 'mainloop' of '_tkinter.tkapp' objects}
1898/1880    0.015    0.000   37.539    0.020 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\__init__.py:1880(__call__)
      341    0.002    0.000   15.674    0.046 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_tkagg.py:9(draw)
      332    0.001    0.000   15.170    0.046 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\__init__.py:804(callit)
      332    0.001    0.000   15.166    0.046 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\_backend_tk.py:269(idle_draw)
      341    0.005    0.000   14.712    0.043 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_agg.py:380(draw)
      341    0.001    0.000   14.652    0.043 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
35750/341    0.124    0.000   14.651    0.043 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
      341    0.006    0.000   14.649    0.043 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\figure.py:3142(draw)
 1013/341    0.010    0.000   14.275    0.042 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
      672    0.014    0.000   14.270    0.021 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axes\_base.py:3072(draw)
        1    0.101    0.101    7.599    7.599 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\load_screen.py:66(create_project)
      676    0.015    0.000    6.874    0.010 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1415(draw)
        1    0.039    0.039    6.832    6.832 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:467(update_window_size)
