11202292 function calls (10803815 primitive calls) in 198.083 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2371   52.761    0.022   52.769    0.022 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\image.py:585(draw)
     2371    1.519    0.001   52.082    0.022 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\image.py:903(make_image)
     2371    2.772    0.001   50.485    0.021 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\image.py:337(_make_image)
        1    0.001    0.001   49.181   49.181 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\load_screen.py:66(create_project)
        1   16.906   16.906   40.350   40.350 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:294(load_image)
     4513    0.151    0.000   22.968    0.005 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\image.py:163(_resample)
     4513   21.999    0.005   22.210    0.005 {built-in method matplotlib._image.resample}
        1    0.000    0.000   22.136   22.136 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:399(update_window_size)
        1    0.795    0.795   22.134   22.134 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:405(temporal_averaging)
     3625    0.015    0.000   21.105    0.006 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:3735(mean)
     3625    0.608    0.000   21.090    0.006 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\_methods.py:118(_mean)
   126588   20.765    0.000   20.765    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4511    0.160    0.000   15.819    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\colorizer.py:326(to_rgba)
     4511    0.044    0.000   15.658    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\colorizer.py:120(to_rgba)
