         5335225 function calls (5159150 primitive calls) in 139.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  139.679  139.679 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\profile_app.py:7(run_app)
        1    0.000    0.000  139.420  139.420 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\__init__.py:1420(mainloop)
        1   68.509   68.509  139.420  139.420 {method 'mainloop' of '_tkinter.tkapp' objects}
  779/777    0.008    0.000   70.913    0.091 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\__init__.py:1880(__call__)
        1   19.706   19.706   22.296   22.296 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:275(save_parameters)
       65    0.000    0.000   17.738    0.273 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_tkagg.py:9(draw)
       65    0.001    0.000   17.522    0.270 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_agg.py:380(draw)
       65    0.000    0.000   17.500    0.269 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
  8025/65    0.164    0.000   17.500    0.269 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
       65    0.001    0.000   17.500    0.269 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\figure.py:3142(draw)
        1    0.000    0.000   17.456   17.456 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\load_screen.py:66(create_project)
   184/65    0.003    0.000   17.364    0.267 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
      119    0.003    0.000   17.363    0.146 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axes\_base.py:3072(draw)
     1679    0.026    0.000   15.817    0.009 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\image.py:629(draw)
     1679    0.209    0.000   15.523    0.009 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\image.py:943(make_image)
       56    0.000    0.000   15.422    0.275 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\__init__.py:804(callit)
       56    0.000    0.000   15.421    0.275 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\_backend_tk.py:269(idle_draw)
     1679    0.935    0.001   15.281    0.009 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\image.py:335(_make_image)
        1    6.140    6.140   13.686   13.686 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:295(load_image)
     3358    0.056    0.000   10.494    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\image.py:161(_resample)
     3358    9.843    0.003    9.946    0.003 {built-in method matplotlib._image.resample}
        1    0.035    0.035    9.470    9.470 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:400(update_window_size)
        1    9.214    9.214    9.432    9.432 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:414(temporal_averaging)
     9740    4.413    0.000    4.413    0.000 {method 'astype' of 'numpy.ndarray' objects}
     7688    0.013    0.000    4.345    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\_core\fromnumeric.py:51(_wrapfunc)
     1116    0.002    0.000    4.291    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\_core\fromnumeric.py:2178(clip)
     1116    0.001    0.000    4.284    0.004 {method 'clip' of 'numpy.ndarray' objects}
     1116    4.283    0.004    4.283    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\_core\_methods.py:99(_clip)
2204/2121    3.875    0.002    4.092    0.002 {method 'call' of '_tkinter.tkapp' objects}
        2    0.000    0.000    3.412    1.706 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:611(toggle_segmentation_mode)
        1    0.000    0.000    3.411    3.411 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:670(process_segments)
        1    0.000    0.000    3.185    3.185 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:1112(imread)
        1    0.000    0.000    3.179    3.179 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:4390(asarray)
        1    0.000    0.000    3.037    3.037 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:14912(read_array)
        1    3.037    3.037    3.037    3.037 {method 'readinto' of '_io.BufferedReader' objects}
        1    0.020    0.020    2.852    2.852 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:770(mean_over_time)
    35811    2.346    0.000    2.346    0.000 {built-in method numpy.array}
        1    0.000    0.000    2.271    2.271 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\simpledialog.py:388(askstring)
        1    0.000    0.000    2.271    2.271 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\simpledialog.py:370(__init__)
        1    0.000    0.000    2.271    2.271 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\simpledialog.py:257(__init__)
        1    0.000    0.000    2.271    2.271 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\simpledialog.py:122(__init__)
        1    0.000    0.000    2.268    2.268 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\__init__.py:682(wait_window)
4859/4155    0.019    0.000    1.921    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook.py:285(process)
  734/730    0.004    0.000    1.917    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:1215(_process)
        5    0.000    0.000    1.877    0.375 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\_backend_tk.py:311(button_press_event)
        5    0.000    0.000    1.762    0.352 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:626(on_segment_click)
        1    0.000    0.000    1.483    1.483 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\filedialog.py:379(askopenfilename)
        1    0.000    0.000    1.483    1.483 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\commondialog.py:32(show)
        4    0.000    0.000    1.469    0.367 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\_function_base_impl.py:897(copy)
     1679    0.090    0.000    1.392    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cm.py:354(to_rgba)
     1679    0.294    0.000    1.261    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\colors.py:713(__call__)
     1679    0.582    0.000    1.014    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\colors.py:1364(__call__)
      124    0.002    0.000    0.962    0.008 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1415(draw)
      634    0.011    0.000    0.643    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\_backend_tk.py:293(motion_notify_event)
      676    0.013    0.000    0.570    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:1311(__init__)
      644    0.029    0.000    0.563    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:1407(__init__)
     2182    0.018    0.000    0.531    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:737(draw)
